panel,scheme,region_abbreviation,region_name,continent,metric,value,units,n,sample_unit
a,Regions within Continent,ENA,E.North-America,North and Central America,Precision before adjustment,0.37316284020167223,degC,45,pseudo-observation realizations
a,Regions within Continent,NCA,N.Central-America,North and Central America,Precision before adjustment,0.33371598335538916,degC,45,pseudo-observation realizations
a,Regions within Continent,SCA,S.Central-America,North and Central America,Precision before adjustment,0.2845059651438496,degC,45,pseudo-observation realizations
a,Regions within Continent,CAR,Caribbean,North and Central America,Precision before adjustment,0.23962780264105205,degC,45,pseudo-observation realizations
a,Regions within Continent,NWS,N.W.South-America,South America,Precision before adjustment,0.3360231873546956,degC,45,pseudo-observation realizations
a,Regions within Continent,NSA,N.South-America,South America,Precision before adjustment,0.46342549276004924,degC,45,pseudo-observation realizations
a,Regions within Continent,NES,N.E.South-America,South America,Precision before adjustment,0.34249264659806333,degC,45,pseudo-observation realizations
a,Regions within Continent,SAM,South-American-Monsoon,South America,Precision before adjustment,0.633981934154755,degC,45,pseudo-observation realizations
a,Regions within Continent,SWS,S.W.South-America,South America,Precision before adjustment,0.34314680410497417,degC,45,pseudo-observation realizations
a,Regions within Continent,SES,S.E.South-America,South America,Precision before adjustment,0.44339985208418103,degC,45,pseudo-observation realizations
a,Regions within Continent,SSA,S.South-America,South America,Precision before adjustment,0.28584761953542387,degC,45,pseudo-observation realizations
a,Regions within Continent,NEU,N.Europe,Europe,Precision before adjustment,0.9769691376447373,degC,45,pseudo-observation realizations
a,Regions within Continent,WCE,West&Central-Europe,Europe,Precision before adjustment,0.5235549181242396,degC,45,pseudo-observation realizations
a,Regions within Continent,EEU,E.Europe,Europe,Precision before adjustment,0.6905285760271213,degC,45,pseudo-observation realizations
a,Regions within Continent,MED,Mediterranean,Europe,Precision before adjustment,0.47539928577562257,degC,45,pseudo-observation realizations
a,Regions within Continent,SAH,Sahara,Africa,Precision before adjustment,0.6759719140393631,degC,45,pseudo-observation realizations
a,Regions within Continent,WAF,Western-Africa,Africa,Precision before adjustment,0.4132109730305332,degC,45,pseudo-observation realizations
a,Regions within Continent,CAF,Central-Africa,Africa,Precision before adjustment,0.5428396024095048,degC,45,pseudo-observation realizations
a,Regions within Continent,NEAF,N.Eastern-Africa,Africa,Precision before adjustment,0.4700182978010557,degC,45,pseudo-observation realizations
a,Regions within Continent,SEAF,S.Eastern-Africa,Africa,Precision before adjustment,0.40651281047383747,degC,45,pseudo-observation realizations
a,Regions within Continent,WSAF,W.Southern-Africa,Africa,Precision before adjustment,0.3692500071451011,degC,45,pseudo-observation realizations
a,Regions within Continent,ESAF,E.Southern-Africa,Africa,Precision before adjustment,0.42294517591741465,degC,45,pseudo-observation realizations
a,Regions within Continent,MDG,Madagascar,Africa,Precision before adjustment,0.29833700708423033,degC,45,pseudo-observation realizations
a,Regions within Continent,RAR,Russian-Arctic,Asia,Precision before adjustment,1.4192924599329508,degC,45,pseudo-observation realizations
a,Regions within Continent,WSB,W.Siberia,Asia,Precision before adjustment,0.7185937654080884,degC,45,pseudo-observation realizations
a,Regions within Continent,ESB,E.Siberia,Asia,Precision before adjustment,0.6876964863720816,degC,45,pseudo-observation realizations
a,Regions within Continent,RFE,Russian-Far-East,Asia,Precision before adjustment,0.964617862678021,degC,45,pseudo-observation realizations
a,Regions within Continent,WCA,W.C.Asia,Asia,Precision before adjustment,0.5610065670619919,degC,45,pseudo-observation realizations
a,Regions within Continent,ECA,E.C.Asia,Asia,Precision before adjustment,0.5152483579748455,degC,45,pseudo-observation realizations
a,Regions within Continent,TIB,Tibetan-Plateau,Asia,Precision before adjustment,0.8121856076452864,degC,45,pseudo-observation realizations
a,Regions within Continent,EAS,E.Asia,Asia,Precision before adjustment,0.3847493483552863,degC,45,pseudo-observation realizations
a,Regions within Continent,ARP,Arabian-Peninsula,Asia,Precision before adjustment,0.43945480371468115,degC,45,pseudo-observation realizations
a,Regions within Continent,SAS,S.Asia,Asia,Precision before adjustment,0.4156577323177191,degC,45,pseudo-observation realizations
a,Regions within Continent,SEA,S.E.Asia,Australasia,Precision before adjustment,0.2712064067991792,degC,45,pseudo-observation realizations
a,Regions within Continent,NAU,N.Australia,Australasia,Precision before adjustment,0.254379789025492,degC,45,pseudo-observation realizations
a,Regions within Continent,CAU,C.Australia,Australasia,Precision before adjustment,0.4585564953562613,degC,45,pseudo-observation realizations
a,Regions within Continent,EAU,E.Australia,Australasia,Precision before adjustment,0.31036060330380133,degC,45,pseudo-observation realizations
a,Regions within Continent,SAU,S.Australia,Australasia,Precision before adjustment,0.3098190018338028,degC,45,pseudo-observation realizations
a,Regions within Continent,NZ,New-Zealand,Australasia,Precision before adjustment,0.2833106861177653,degC,45,pseudo-observation realizations
a,Regions within Continent,EAN,E.Antarctica,Antarctica,Precision before adjustment,1.1952425377873577,degC,45,pseudo-observation realizations
a,Regions within Continent,WAN,W.Antarctica,Antarctica,Precision before adjustment,1.9322189416564035,degC,45,pseudo-observation realizations
a,Region + LSAT,GIC,Greenland/Iceland,North and Central America,Precision before adjustment,1.8845819132587722,degC,45,pseudo-observation realizations
a,Region + LSAT,NWN,N.W.North-America,North and Central America,Precision before adjustment,1.0037630956656163,degC,45,pseudo-observation realizations
a,Region + LSAT,NEN,N.E.North-America,North and Central America,Precision before adjustment,1.2374448499531685,degC,45,pseudo-observation realizations
a,Region + LSAT,WNA,W.North-America,North and Central America,Precision before adjustment,0.5448613007062458,degC,45,pseudo-observation realizations
a,Region + LSAT,CNA,C.North-America,North and Central America,Precision before adjustment,0.5208653175228145,degC,45,pseudo-observation realizations
a,Region + LSAT,ENA,E.North-America,North and Central America,Precision before adjustment,0.38048780305060675,degC,45,pseudo-observation realizations
a,Region + LSAT,NCA,N.Central-America,North and Central America,Precision before adjustment,0.3442805762885912,degC,45,pseudo-observation realizations
a,Region + LSAT,SCA,S.Central-America,North and Central America,Precision before adjustment,0.23714108894960784,degC,45,pseudo-observation realizations
a,Region + LSAT,CAR,Caribbean,North and Central America,Precision before adjustment,0.1870339252138771,degC,45,pseudo-observation realizations
a,Region + LSAT,NWS,N.W.South-America,South America,Precision before adjustment,0.44634208158881017,degC,45,pseudo-observation realizations
a,Region + LSAT,NSA,N.South-America,South America,Precision before adjustment,0.7461997711129827,degC,45,pseudo-observation realizations
a,Region + LSAT,NES,N.E.South-America,South America,Precision before adjustment,0.442670270877874,degC,45,pseudo-observation realizations
a,Region + LSAT,SAM,South-American-Monsoon,South America,Precision before adjustment,0.8279643916049564,degC,45,pseudo-observation realizations
a,Region + LSAT,SWS,S.W.South-America,South America,Precision before adjustment,0.34341612638304186,degC,45,pseudo-observation realizations
a,Region + LSAT,SES,S.E.South-America,South America,Precision before adjustment,0.4538710756591839,degC,45,pseudo-observation realizations
a,Region + LSAT,SSA,S.South-America,South America,Precision before adjustment,0.2403953810422145,degC,45,pseudo-observation realizations
a,Region + LSAT,NEU,N.Europe,Europe,Precision before adjustment,1.0821342481842156,degC,45,pseudo-observation realizations
a,Region + LSAT,WCE,West&Central-Europe,Europe,Precision before adjustment,0.5595746437785628,degC,45,pseudo-observation realizations
a,Region + LSAT,EEU,E.Europe,Europe,Precision before adjustment,0.852093977556275,degC,45,pseudo-observation realizations
a,Region + LSAT,MED,Mediterranean,Europe,Precision before adjustment,0.3863945020211125,degC,45,pseudo-observation realizations
a,Region + LSAT,SAH,Sahara,Africa,Precision before adjustment,0.4663187280376887,degC,45,pseudo-observation realizations
a,Region + LSAT,WAF,Western-Africa,Africa,Precision before adjustment,0.41274615960938044,degC,45,pseudo-observation realizations
a,Region + LSAT,CAF,Central-Africa,Africa,Precision before adjustment,0.5988401432156442,degC,45,pseudo-observation realizations
a,Region + LSAT,NEAF,N.Eastern-Africa,Africa,Precision before adjustment,0.515580070524501,degC,45,pseudo-observation realizations
a,Region + LSAT,SEAF,S.Eastern-Africa,Africa,Precision before adjustment,0.5423862439269679,degC,45,pseudo-observation realizations
a,Region + LSAT,WSAF,W.Southern-Africa,Africa,Precision before adjustment,0.39051231175361967,degC,45,pseudo-observation realizations
a,Region + LSAT,ESAF,E.Southern-Africa,Africa,Precision before adjustment,0.4294027574511518,degC,45,pseudo-observation realizations
a,Region + LSAT,MDG,Madagascar,Africa,Precision before adjustment,0.2909993501123615,degC,45,pseudo-observation realizations
a,Region + LSAT,RAR,Russian-Arctic,Asia,Precision before adjustment,1.8706975431611679,degC,45,pseudo-observation realizations
a,Region + LSAT,WSB,W.Siberia,Asia,Precision before adjustment,0.7740080770765636,degC,45,pseudo-observation realizations
a,Region + LSAT,ESB,E.Siberia,Asia,Precision before adjustment,0.6983755954163479,degC,45,pseudo-observation realizations
a,Region + LSAT,RFE,Russian-Far-East,Asia,Precision before adjustment,1.0404046503905293,degC,45,pseudo-observation realizations
a,Region + LSAT,WCA,W.C.Asia,Asia,Precision before adjustment,0.5636492894389419,degC,45,pseudo-observation realizations
a,Region + LSAT,ECA,E.C.Asia,Asia,Precision before adjustment,0.5810053227392932,degC,45,pseudo-observation realizations
a,Region + LSAT,TIB,Tibetan-Plateau,Asia,Precision before adjustment,0.9100303549799338,degC,45,pseudo-observation realizations
a,Region + LSAT,EAS,E.Asia,Asia,Precision before adjustment,0.3454909377092393,degC,45,pseudo-observation realizations
a,Region + LSAT,ARP,Arabian-Peninsula,Asia,Precision before adjustment,0.5042878876914101,degC,45,pseudo-observation realizations
a,Region + LSAT,SAS,S.Asia,Asia,Precision before adjustment,0.3860685604497005,degC,45,pseudo-observation realizations
a,Region + LSAT,SEA,S.E.Asia,Australasia,Precision before adjustment,0.2244800489718587,degC,45,pseudo-observation realizations
a,Region + LSAT,NAU,N.Australia,Australasia,Precision before adjustment,0.2781155633037492,degC,45,pseudo-observation realizations
a,Region + LSAT,CAU,C.Australia,Australasia,Precision before adjustment,0.5680961712506897,degC,45,pseudo-observation realizations
a,Region + LSAT,EAU,E.Australia,Australasia,Precision before adjustment,0.3482344920125015,degC,45,pseudo-observation realizations
a,Region + LSAT,SAU,S.Australia,Australasia,Precision before adjustment,0.2925038342617044,degC,45,pseudo-observation realizations
a,Region + LSAT,NZ,New-Zealand,Australasia,Precision before adjustment,0.2752769959918384,degC,45,pseudo-observation realizations
a,Region + LSAT,EAN,E.Antarctica,Antarctica,Precision before adjustment,0.8793722289984798,degC,45,pseudo-observation realizations
a,Region + LSAT,WAN,W.Antarctica,Antarctica,Precision before adjustment,1.673544506064101,degC,45,pseudo-observation realizations
a,Continent,GIC,Greenland/Iceland,North and Central America,Precision before adjustment,1.8445105515536662,degC,45,pseudo-observation realizations
a,Continent,NWN,N.W.North-America,North and Central America,Precision before adjustment,1.1300967905608337,degC,45,pseudo-observation realizations
a,Continent,NEN,N.E.North-America,North and Central America,Precision before adjustment,1.1734428612453682,degC,45,pseudo-observation realizations
a,Continent,WNA,W.North-America,North and Central America,Precision before adjustment,0.9272890446292927,degC,45,pseudo-observation realizations
a,Continent,CNA,C.North-America,North and Central America,Precision before adjustment,1.0208455582411173,degC,45,pseudo-observation realizations
a,Continent,ENA,E.North-America,North and Central America,Precision before adjustment,0.5710473802332228,degC,45,pseudo-observation realizations
a,Continent,NCA,N.Central-America,North and Central America,Precision before adjustment,0.59534973067689,degC,45,pseudo-observation realizations
a,Continent,SCA,S.Central-America,North and Central America,Precision before adjustment,0.4406784095011047,degC,45,pseudo-observation realizations
a,Continent,CAR,Caribbean,North and Central America,Precision before adjustment,0.3544845622802665,degC,45,pseudo-observation realizations
a,Continent,NWS,N.W.South-America,South America,Precision before adjustment,0.44785486476557873,degC,45,pseudo-observation realizations
a,Continent,NSA,N.South-America,South America,Precision before adjustment,0.6160249680678613,degC,45,pseudo-observation realizations
a,Continent,NES,N.E.South-America,South America,Precision before adjustment,0.42661136825951307,degC,45,pseudo-observation realizations
a,Continent,SAM,South-American-Monsoon,South America,Precision before adjustment,0.785787059971551,degC,45,pseudo-observation realizations
a,Continent,SWS,S.W.South-America,South America,Precision before adjustment,0.5577121551692832,degC,45,pseudo-observation realizations
a,Continent,SES,S.E.South-America,South America,Precision before adjustment,0.6414906792644098,degC,45,pseudo-observation realizations
a,Continent,SSA,S.South-America,South America,Precision before adjustment,0.47730947549063435,degC,45,pseudo-observation realizations
a,Continent,NEU,N.Europe,Europe,Precision before adjustment,1.2585422421687957,degC,45,pseudo-observation realizations
a,Continent,WCE,West&Central-Europe,Europe,Precision before adjustment,0.6066128491540408,degC,45,pseudo-observation realizations
a,Continent,EEU,E.Europe,Europe,Precision before adjustment,0.8167986448761533,degC,45,pseudo-observation realizations
a,Continent,MED,Mediterranean,Europe,Precision before adjustment,0.570270735611487,degC,45,pseudo-observation realizations
a,Continent,SAH,Sahara,Africa,Precision before adjustment,0.6775790383035222,degC,45,pseudo-observation realizations
a,Continent,WAF,Western-Africa,Africa,Precision before adjustment,0.5675700412792541,degC,45,pseudo-observation realizations
a,Continent,CAF,Central-Africa,Africa,Precision before adjustment,0.6992544694957746,degC,45,pseudo-observation realizations
a,Continent,NEAF,N.Eastern-Africa,Africa,Precision before adjustment,0.5579930047499406,degC,45,pseudo-observation realizations
a,Continent,SEAF,S.Eastern-Africa,Africa,Precision before adjustment,0.48407292098128707,degC,45,pseudo-observation realizations
a,Continent,WSAF,W.Southern-Africa,Africa,Precision before adjustment,0.43219214020589036,degC,45,pseudo-observation realizations
a,Continent,ESAF,E.Southern-Africa,Africa,Precision before adjustment,0.478417473155271,degC,45,pseudo-observation realizations
a,Continent,MDG,Madagascar,Africa,Precision before adjustment,0.3743545813621946,degC,45,pseudo-observation realizations
a,Continent,RAR,Russian-Arctic,Asia,Precision before adjustment,1.9332305288032339,degC,45,pseudo-observation realizations
a,Continent,WSB,W.Siberia,Asia,Precision before adjustment,0.9789977170404266,degC,45,pseudo-observation realizations
a,Continent,ESB,E.Siberia,Asia,Precision before adjustment,0.9498708374446706,degC,45,pseudo-observation realizations
a,Continent,RFE,Russian-Far-East,Asia,Precision before adjustment,1.5660513979200785,degC,45,pseudo-observation realizations
a,Continent,WCA,W.C.Asia,Asia,Precision before adjustment,0.9749215882387483,degC,45,pseudo-observation realizations
a,Continent,ECA,E.C.Asia,Asia,Precision before adjustment,0.8056562709931581,degC,45,pseudo-observation realizations
a,Continent,TIB,Tibetan-Plateau,Asia,Precision before adjustment,2.189500552986996,degC,45,pseudo-observation realizations
a,Continent,EAS,E.Asia,Asia,Precision before adjustment,0.6228632044784276,degC,45,pseudo-observation realizations
a,Continent,ARP,Arabian-Peninsula,Asia,Precision before adjustment,0.74478203102803,degC,45,pseudo-observation realizations
a,Continent,SAS,S.Asia,Asia,Precision before adjustment,0.8876372724552307,degC,45,pseudo-observation realizations
a,Continent,SEA,S.E.Asia,Australasia,Precision before adjustment,0.29220573157997337,degC,45,pseudo-observation realizations
a,Continent,NAU,N.Australia,Australasia,Precision before adjustment,0.26628431563339466,degC,45,pseudo-observation realizations
a,Continent,CAU,C.Australia,Australasia,Precision before adjustment,0.4782245998829504,degC,45,pseudo-observation realizations
a,Continent,EAU,E.Australia,Australasia,Precision before adjustment,0.40428904223341044,degC,45,pseudo-observation realizations
a,Continent,SAU,S.Australia,Australasia,Precision before adjustment,0.395673676395891,degC,45,pseudo-observation realizations
a,Continent,NZ,New-Zealand,Australasia,Precision before adjustment,0.4706514407388619,degC,45,pseudo-observation realizations
a,Continent,EAN,E.Antarctica,Antarctica,Precision before adjustment,1.1952425377873577,degC,45,pseudo-observation realizations
a,Continent,WAN,W.Antarctica,Antarctica,Precision before adjustment,1.9322189416564035,degC,45,pseudo-observation realizations
a,Continent + LSAT,GIC,Greenland/Iceland,North and Central America,Precision before adjustment,1.5522195237613212,degC,45,pseudo-observation realizations
a,Continent + LSAT,NWN,N.W.North-America,North and Central America,Precision before adjustment,0.9481930310544757,degC,45,pseudo-observation realizations
a,Continent + LSAT,NEN,N.E.North-America,North and Central America,Precision before adjustment,1.0510974579301073,degC,45,pseudo-observation realizations
a,Continent + LSAT,WNA,W.North-America,North and Central America,Precision before adjustment,0.7124898988510144,degC,45,pseudo-observation realizations
a,Continent + LSAT,CNA,C.North-America,North and Central America,Precision before adjustment,0.8705149016367285,degC,45,pseudo-observation realizations
a,Continent + LSAT,ENA,E.North-America,North and Central America,Precision before adjustment,0.5354341144683777,degC,45,pseudo-observation realizations
a,Continent + LSAT,NCA,N.Central-America,North and Central America,Precision before adjustment,0.4376445939706614,degC,45,pseudo-observation realizations
a,Continent + LSAT,SCA,S.Central-America,North and Central America,Precision before adjustment,0.29516991946472076,degC,45,pseudo-observation realizations
a,Continent + LSAT,CAR,Caribbean,North and Central America,Precision before adjustment,0.2752888719417317,degC,45,pseudo-observation realizations
a,Continent + LSAT,NWS,N.W.South-America,South America,Precision before adjustment,0.38088545402221696,degC,45,pseudo-observation realizations
a,Continent + LSAT,NSA,N.South-America,South America,Precision before adjustment,0.5337578677322863,degC,45,pseudo-observation realizations
a,Continent + LSAT,NES,N.E.South-America,South America,Precision before adjustment,0.3936021966743237,degC,45,pseudo-observation realizations
a,Continent + LSAT,SAM,South-American-Monsoon,South America,Precision before adjustment,0.6779508424757369,degC,45,pseudo-observation realizations
a,Continent + LSAT,SWS,S.W.South-America,South America,Precision before adjustment,0.49559987612489476,degC,45,pseudo-observation realizations
a,Continent + LSAT,SES,S.E.South-America,South America,Precision before adjustment,0.5663886928488759,degC,45,pseudo-observation realizations
a,Continent + LSAT,SSA,S.South-America,South America,Precision before adjustment,0.4029100478923705,degC,45,pseudo-observation realizations
a,Continent + LSAT,NEU,N.Europe,Europe,Precision before adjustment,1.1187583701779755,degC,45,pseudo-observation realizations
a,Continent + LSAT,WCE,West&Central-Europe,Europe,Precision before adjustment,0.5429815560538684,degC,45,pseudo-observation realizations
a,Continent + LSAT,EEU,E.Europe,Europe,Precision before adjustment,0.7364511362994278,degC,45,pseudo-observation realizations
a,Continent + LSAT,MED,Mediterranean,Europe,Precision before adjustment,0.42412034913673746,degC,45,pseudo-observation realizations
a,Continent + LSAT,SAH,Sahara,Africa,Precision before adjustment,0.43572427147450576,degC,45,pseudo-observation realizations
a,Continent + LSAT,WAF,Western-Africa,Africa,Precision before adjustment,0.4899149071242789,degC,45,pseudo-observation realizations
a,Continent + LSAT,CAF,Central-Africa,Africa,Precision before adjustment,0.6100530442093725,degC,45,pseudo-observation realizations
a,Continent + LSAT,NEAF,N.Eastern-Africa,Africa,Precision before adjustment,0.5359967245263932,degC,45,pseudo-observation realizations
a,Continent + LSAT,SEAF,S.Eastern-Africa,Africa,Precision before adjustment,0.44793881686361875,degC,45,pseudo-observation realizations
a,Continent + LSAT,WSAF,W.Southern-Africa,Africa,Precision before adjustment,0.34480698929964393,degC,45,pseudo-observation realizations
a,Continent + LSAT,ESAF,E.Southern-Africa,Africa,Precision before adjustment,0.4421372257461023,degC,45,pseudo-observation realizations
a,Continent + LSAT,MDG,Madagascar,Africa,Precision before adjustment,0.3303964483022217,degC,45,pseudo-observation realizations
a,Continent + LSAT,RAR,Russian-Arctic,Asia,Precision before adjustment,1.7292241379585378,degC,45,pseudo-observation realizations
a,Continent + LSAT,WSB,W.Siberia,Asia,Precision before adjustment,0.7665601158696701,degC,45,pseudo-observation realizations
a,Continent + LSAT,ESB,E.Siberia,Asia,Precision before adjustment,0.7633615290673632,degC,45,pseudo-observation realizations
a,Continent + LSAT,RFE,Russian-Far-East,Asia,Precision before adjustment,1.2870586000896305,degC,45,pseudo-observation realizations
a,Continent + LSAT,WCA,W.C.Asia,Asia,Precision before adjustment,0.7154070492735662,degC,45,pseudo-observation realizations
a,Continent + LSAT,ECA,E.C.Asia,Asia,Precision before adjustment,0.6829845011455271,degC,45,pseudo-observation realizations
a,Continent + LSAT,TIB,Tibetan-Plateau,Asia,Precision before adjustment,2.030745978019559,degC,45,pseudo-observation realizations
a,Continent + LSAT,EAS,E.Asia,Asia,Precision before adjustment,0.465466403512275,degC,45,pseudo-observation realizations
a,Continent + LSAT,ARP,Arabian-Peninsula,Asia,Precision before adjustment,0.5775288644868304,degC,45,pseudo-observation realizations
a,Continent + LSAT,SAS,S.Asia,Asia,Precision before adjustment,0.7974353006553547,degC,45,pseudo-observation realizations
a,Continent + LSAT,SEA,S.E.Asia,Australasia,Precision before adjustment,0.22647170379530435,degC,45,pseudo-observation realizations
a,Continent + LSAT,NAU,N.Australia,Australasia,Precision before adjustment,0.24526979422331854,degC,45,pseudo-observation realizations
a,Continent + LSAT,CAU,C.Australia,Australasia,Precision before adjustment,0.4647774113197422,degC,45,pseudo-observation realizations
a,Continent + LSAT,EAU,E.Australia,Australasia,Precision before adjustment,0.34433880598560934,degC,45,pseudo-observation realizations
a,Continent + LSAT,SAU,S.Australia,Australasia,Precision before adjustment,0.3534162444344983,degC,45,pseudo-observation realizations
a,Continent + LSAT,NZ,New-Zealand,Australasia,Precision before adjustment,0.4411210007662511,degC,45,pseudo-observation realizations
a,Continent + LSAT,EAN,E.Antarctica,Antarctica,Precision before adjustment,0.8793722289984798,degC,45,pseudo-observation realizations
a,Continent + LSAT,WAN,W.Antarctica,Antarctica,Precision before adjustment,1.673544506064101,degC,45,pseudo-observation realizations
a,LSAT,GIC,Greenland/Iceland,North and Central America,Precision before adjustment,1.8845819132587722,degC,45,pseudo-observation realizations
a,LSAT,NWN,N.W.North-America,North and Central America,Precision before adjustment,1.1008350051152036,degC,45,pseudo-observation realizations
a,LSAT,NEN,N.E.North-America,North and Central America,Precision before adjustment,1.2374448499531685,degC,45,pseudo-observation realizations
a,LSAT,WNA,W.North-America,North and Central America,Precision before adjustment,0.7081540429297267,degC,45,pseudo-observation realizations
a,LSAT,CNA,C.North-America,North and Central America,Precision before adjustment,0.8954854307407086,degC,45,pseudo-observation realizations
a,LSAT,ENA,E.North-America,North and Central America,Precision before adjustment,0.5918552571613384,degC,45,pseudo-observation realizations
a,LSAT,NCA,N.Central-America,North and Central America,Precision before adjustment,0.4373933502868898,degC,45,pseudo-observation realizations
a,LSAT,SCA,S.Central-America,North and Central America,Precision before adjustment,0.30381137620239984,degC,45,pseudo-observation realizations
