panel,record_type,continent,year,years_without_sufficient_observations,grid_percentage,temperature_anomaly,threshold_grid_percentage,first_year_meeting_threshold,units
b,global_land_time_series,,1929,,48.582375478927204,-0.504484579119594,30,1885,percent and degC
b,global_land_time_series,,1930,,49.34865900383142,-0.1672847972404829,30,1885,percent and degC
b,global_land_time_series,,1931,,50.114942528735625,-0.0973104466932047,30,1885,percent and degC
b,global_land_time_series,,1932,,50.421455938697314,-0.1515055642683794,30,1885,percent and degC
b,global_land_time_series,,1933,,51.64750957854406,-0.3598135391951833,30,1885,percent and degC
b,global_land_time_series,,1934,,51.8007662835249,-0.1068747360368351,30,1885,percent and degC
b,global_land_time_series,,1935,,52.26053639846743,-0.2233880308061217,30,1885,percent and degC
b,global_land_time_series,,1936,,53.71647509578544,-0.16746893063730714,30,1885,percent and degC
b,global_land_time_series,,1937,,54.09961685823754,-0.07651288950551076,30,1885,percent and degC
b,global_land_time_series,,1938,,54.78927203065134,0.08089816713714086,30,1885,percent and degC
b,global_land_time_series,,1939,,54.48275862068965,-0.040459722379598675,30,1885,percent and degC
b,global_land_time_series,,1940,,53.71647509578544,-0.07727539879727276,30,1885,percent and degC
b,global_land_time_series,,1941,,55.47892720306513,-0.0661418348030043,30,1885,percent and degC
b,global_land_time_series,,1942,,54.94252873563218,-0.044100119447323734,30,1885,percent and degC
b,global_land_time_series,,1943,,54.55938697318008,0.009771808658472013,30,1885,percent and degC
b,global_land_time_series,,1944,,55.32567049808429,0.0953287162289407,30,1885,percent and degC
b,global_land_time_series,,1945,,54.71264367816092,-0.08538786527300382,30,1885,percent and degC
b,global_land_time_series,,1946,,56.7816091954023,-0.10147681737737742,30,1885,percent and degC
b,global_land_time_series,,1947,,57.931034482758626,-0.0699942158208912,30,1885,percent and degC
b,global_land_time_series,,1948,,58.39080459770115,-0.04267752150325707,30,1885,percent and degC
b,global_land_time_series,,1949,,59.310344827586206,-0.1747903669077254,30,1885,percent and degC
b,global_land_time_series,,1950,,60.0,-0.3065246951512525,30,1885,percent and degC
b,global_land_time_series,,1951,,62.758620689655174,-0.11729338943354874,30,1885,percent and degC
b,global_land_time_series,,1952,,62.98850574712643,-0.07817086985591176,30,1885,percent and degC
b,global_land_time_series,,1953,,63.754789272030656,0.14170606662098942,30,1885,percent and degC
b,global_land_time_series,,1954,,64.06130268199234,-0.13594161057860726,30,1885,percent and degC
b,global_land_time_series,,1955,,64.59770114942529,-0.17176238815215034,30,1885,percent and degC
b,global_land_time_series,,1956,,64.67432950191571,-0.4035163136456256,30,1885,percent and degC
b,global_land_time_series,,1957,,66.28352490421456,-0.08640533858457465,30,1885,percent and degC
b,global_land_time_series,,1958,,66.74329501915709,0.03858178545109712,30,1885,percent and degC
b,global_land_time_series,,1959,,66.89655172413794,0.0010894173768709898,30,1885,percent and degC
b,global_land_time_series,,1960,,67.35632183908045,-0.06642720767533858,30,1885,percent and degC
b,global_land_time_series,,1961,,68.27586206896552,0.04805394383602008,30,1885,percent and degC
b,global_land_time_series,,1962,,68.12260536398468,0.049869953234178886,30,1885,percent and degC
b,global_land_time_series,,1963,,68.35249042145594,0.03466503810753608,30,1885,percent and degC
b,global_land_time_series,,1964,,68.27586206896552,-0.298602652568834,30,1885,percent and degC
b,global_land_time_series,,1965,,68.5823754789272,-0.23255109558336823,30,1885,percent and degC
b,global_land_time_series,,1966,,69.04214559386973,-0.13663067777823443,30,1885,percent and degC
b,global_land_time_series,,1967,,68.96551724137932,-0.10332968412507662,30,1885,percent and degC
b,global_land_time_series,,1968,,69.19540229885057,-0.2107284032631623,30,1885,percent and degC
b,global_land_time_series,,1969,,69.11877394636015,-0.13247000612816567,30,1885,percent and degC
b,global_land_time_series,,1970,,69.73180076628353,-0.058939858536917224,30,1885,percent and degC
b,global_land_time_series,,1971,,69.04214559386973,-0.17603790858816132,30,1885,percent and degC
b,global_land_time_series,,1972,,68.88888888888889,-0.2361523003191977,30,1885,percent and degC
b,global_land_time_series,,1973,,68.96551724137932,0.1675185635996575,30,1885,percent and degC
b,global_land_time_series,,1974,,69.11877394636015,-0.2532048159934144,30,1885,percent and degC
b,global_land_time_series,,1975,,69.19540229885057,-0.015307219812727058,30,1885,percent and degC
b,global_land_time_series,,1976,,69.19540229885057,-0.3350129330016931,30,1885,percent and degC
b,global_land_time_series,,1977,,69.04214559386973,0.06126976023466844,30,1885,percent and degC
b,global_land_time_series,,1978,,69.57854406130268,-0.03597117812975073,30,1885,percent and degC
b,global_land_time_series,,1979,,69.6551724137931,0.029194953438276626,30,1885,percent and degC
b,global_land_time_series,,1980,,69.73180076628353,0.13105086354424889,30,1885,percent and degC
b,global_land_time_series,,1981,,69.42528735632185,0.3134023630934173,30,1885,percent and degC
b,global_land_time_series,,1982,,68.73563218390805,-0.01098488110591047,30,1885,percent and degC
b,global_land_time_series,,1983,,68.81226053639847,0.32988356689273146,30,1885,percent and degC
b,global_land_time_series,,1984,,68.81226053639847,-0.051287677036808664,30,1885,percent and degC
b,global_land_time_series,,1985,,69.42528735632185,-0.015303956945524498,30,1885,percent and degC
b,global_land_time_series,,1986,,69.57854406130268,0.08805440416455583,30,1885,percent and degC
b,global_land_time_series,,1987,,68.96551724137932,0.23671129707054572,30,1885,percent and degC
b,global_land_time_series,,1988,,69.19540229885057,0.36966985212236764,30,1885,percent and degC
b,global_land_time_series,,1989,,68.88888888888889,0.24025583689961091,30,1885,percent and degC
b,global_land_time_series,,1990,,69.11877394636015,0.4660487871463262,30,1885,percent and degC
b,global_land_time_series,,1991,,68.12260536398468,0.338540994429708,30,1885,percent and degC
b,global_land_time_series,,1992,,67.66283524904215,0.10298676366230733,30,1885,percent and degC
b,global_land_time_series,,1993,,67.5095785440613,0.17289950260676612,30,1885,percent and degC
b,global_land_time_series,,1994,,67.5095785440613,0.3007942248071851,30,1885,percent and degC
b,global_land_time_series,,1995,,68.12260536398468,0.5491943225260665,30,1885,percent and degC
b,global_land_time_series,,1996,,67.27969348659005,0.218421741680145,30,1885,percent and degC
b,global_land_time_series,,1997,,67.1264367816092,0.47866366285864326,30,1885,percent and degC
b,global_land_time_series,,1998,,67.35632183908045,0.835825591858658,30,1885,percent and degC
b,global_land_time_series,,1999,,67.89272030651341,0.5671696793809159,30,1885,percent and degC
b,global_land_time_series,,2000,,67.43295019157088,0.47271671383589864,30,1885,percent and degC
b,global_land_time_series,,2001,,66.97318007662835,0.6542801838425149,30,1885,percent and degC
b,global_land_time_series,,2002,,67.43295019157088,0.7147080774981894,30,1885,percent and degC
b,global_land_time_series,,2003,,67.43295019157088,0.7231304378619237,30,1885,percent and degC
b,global_land_time_series,,2004,,67.20306513409962,0.5980440131122394,30,1885,percent and degC
b,global_land_time_series,,2005,,66.28352490421456,0.834565807135303,30,1885,percent and degC
b,global_land_time_series,,2006,,66.89655172413794,0.7441908670356729,30,1885,percent and degC
b,global_land_time_series,,2007,,67.20306513409962,0.8389344413362417,30,1885,percent and degC
b,global_land_time_series,,2008,,67.04980842911877,0.6552055920168202,30,1885,percent and degC
b,global_land_time_series,,2009,,66.8199233716475,0.6980416761025566,30,1885,percent and degC
b,global_land_time_series,,2010,,66.8199233716475,0.9206114167315071,30,1885,percent and degC
b,global_land_time_series,,2011,,65.74712643678161,0.6865536278980058,30,1885,percent and degC
b,global_land_time_series,,2012,,65.90038314176245,0.749320779008191,30,1885,percent and degC
b,global_land_time_series,,2013,,65.67049808429118,0.8066463774434908,30,1885,percent and degC
b,global_land_time_series,,2014,,65.51724137931035,0.8374128924701101,30,1885,percent and degC
b,global_land_time_series,,2015,,65.13409961685824,1.113801628327266,30,1885,percent and degC
b,global_land_time_series,,2016,,65.28735632183908,1.2550000632015885,30,1885,percent and degC
b,global_land_time_series,,2017,,64.21455938697318,1.0994146742584618,30,1885,percent and degC
b,global_land_time_series,,2018,,63.601532567049816,0.8963235236336242,30,1885,percent and degC
b,global_land_time_series,,2019,,62.758620689655174,1.0707788871097423,30,1885,percent and degC
b,global_land_time_series,,2020,,61.99233716475096,1.2255196718270227,30,1885,percent and degC
b,global_land_time_series,,2021,,62.52873563218391,1.0209439649582508,30,1885,percent and degC
b,global_land_time_series,,2022,,62.45210727969349,1.0308909889111904,30,1885,percent and degC
b,global_land_time_series,,2023,,60.996168582375475,1.3763013715868635,30,1885,percent and degC
b,global_land_time_series,,2024,,57.547892720306514,1.4774005555416552,30,1885,percent and degC
